Average Diode Voltage (V),Average Current Through Diode (A),Diode 1 Voltage(V),Diode 2 Voltage(V),Diode 3 Voltage(V),Current Through Diode 1 (A),Current Through Diode 2 (A),Current Through Diode 3 (A),Input Voltage
0,0,0,0,0,0,0,0,-0.073205875
0,0.000427034,0,0,0,0.000549044,0.000549044,0.000183015,-0.054904406
0,0,0,0,0,-0.000366029,0.000183015,0.000183015,-0.036602938
0.018301469,0.000183015,0.018301469,0.018301469,0.018301469,0.000183015,0.000183015,0.000183015,0
0.036602938,0.000183015,0.036602938,0.036602938,0.036602938,0.000183015,0.000183015,0.000183015,0.018301469
0.054904406,0.000183015,0.054904406,0.054904406,0.054904406,0.000183015,0.000183015,0.000183015,0.036602938
0.073205875,0.000183015,0.073205875,0.073205875,0.073205875,0.000183015,0.000183015,0.000183015,0.054904406
0.091507344,0.000183015,0.091507344,0.091507344,0.091507344,0.000183015,0.000183015,0.000183015,0.073205875
0.109808813,0.000183015,0.109808813,0.109808813,0.109808813,0.000183015,0.000183015,0.000183015,0.091507344
0.128110281,0.000183015,0.128110281,0.128110281,0.128110281,0.000183015,0.000183015,0.000183015,0.109808813
0.14641175,0.000183015,0.14641175,0.14641175,0.14641175,0.000183015,0.000183015,0.000183015,0.128110281
0.164713219,0.000183015,0.164713219,0.164713219,0.164713219,0.000183015,0.000183015,0.000183015,0.14641175
0.183014688,0.000305024,0.183014688,0.183014688,0.183014688,0.000183015,0.000366029,0.000366029,0.164713219
0.201316156,0.000366029,0.201316156,0.201316156,0.201316156,0.000366029,0.000366029,0.000366029,0.183014688
0.219617625,0.000610049,0.219617625,0.219617625,0.219617625,0.000366029,0.000732059,0.000732059,0.201316156
0.237919094,0.000854069,0.237919094,0.237919094,0.237919094,0.000732059,0.000915073,0.000915073,0.219617625
0.274522031,0.000915073,0.274522031,0.274522031,0.274522031,0.000915073,0.000915073,0.000915073,0.237919094
0.2928235,0.001281103,0.2928235,0.2928235,0.2928235,0.001281103,0.001281103,0.001281103,0.256220563
0.311124969,0.001891152,0.311124969,0.311124969,0.311124969,0.001830147,0.002013162,0.001830147,0.2928235
0.329426438,0.00298924,0.329426438,0.329426438,0.329426438,0.002928235,0.002928235,0.00311125,0.311124969
0.347727907,0.004148333,0.347727907,0.347727907,0.347727907,0.004026323,0.004209338,0.004209338,0.329426438
0.366029375,0.006039485,0.366029375,0.366029375,0.366029375,0.006039485,0.006039485,0.006039485,0.347727907
0.384330844,0.0087237,0.384330844,0.384330844,0.384330844,0.00896772,0.00860169,0.00860169,0.366029375
0.402632313,0.012628013,0.402632313,0.402632313,0.402632313,0.012261984,0.012811028,0.012811028,0.384330844
0.420933782,0.018057449,0.420933782,0.420933782,0.420933782,0.017935439,0.018118454,0.018118454,0.402632313
0.43923525,0.025256027,0.43923525,0.43923525,0.43923525,0.025439042,0.024706983,0.025622056,0.420933782
nan,nan,nan,nan,nan,nan,nan,nan,0.43923525
nan,nan,nan,nan,nan,nan,nan,nan,0.457536719
nan,nan,nan,nan,nan,nan,nan,nan,0.475838188
nan,nan,nan,nan,nan,nan,nan,nan,0.494139657
nan,nan,nan,nan,nan,nan,nan,nan,0.512441125
nan,nan,nan,nan,nan,nan,nan,nan,0.530742594
nan,nan,nan,nan,nan,nan,nan,nan,0.567345532
nan,nan,nan,nan,nan,nan,nan,nan,0.585647
nan,nan,nan,nan,nan,nan,nan,nan,0.603948469
nan,nan,nan,nan,nan,nan,nan,nan,0.622249938
nan,nan,nan,nan,nan,nan,nan,nan,0.640551407
nan,nan,nan,nan,nan,nan,nan,nan,0.658852876
nan,nan,nan,nan,nan,nan,nan,nan,0.677154344
nan,nan,nan,nan,nan,nan,nan,nan,0.695455813
nan,nan,nan,nan,nan,nan,nan,nan,0.713757282
nan,nan,nan,nan,nan,nan,nan,nan,0.732058751
nan,nan,nan,nan,nan,nan,nan,nan,0.750360219
nan,nan,nan,nan,nan,nan,nan,nan,0.768661688
nan,nan,nan,nan,nan,nan,nan,nan,0.786963157
nan,nan,nan,nan,nan,nan,nan,nan,0.805264626
nan,nan,nan,nan,nan,nan,nan,nan,0.841867563
nan,nan,nan,nan,nan,nan,nan,nan,0.860169032
nan,nan,nan,nan,nan,nan,nan,nan,0.878470501
nan,nan,nan,nan,nan,nan,nan,nan,0.89677197
nan,nan,nan,nan,nan,nan,nan,nan,0.915073438
nan,nan,nan,nan,nan,nan,nan,nan,0.933374907
nan,nan,nan,nan,nan,nan,nan,nan,0.951676376
nan,nan,nan,nan,nan,nan,nan,nan,0.969977845
nan,nan,nan,nan,nan,nan,nan,nan,0.988279313
nan,nan,nan,nan,nan,nan,nan,nan,1.006580782
nan,nan,nan,nan,nan,nan,nan,nan,1.024882251
nan,nan,nan,nan,nan,nan,nan,nan,1.04318372
nan,nan,nan,nan,nan,nan,nan,nan,1.061485188
nan,nan,nan,nan,nan,nan,nan,nan,1.079786657
nan,nan,nan,nan,nan,nan,nan,nan,1.116389595
nan,nan,nan,nan,nan,nan,nan,nan,1.134691063
nan,nan,nan,nan,nan,nan,nan,nan,1.152992532
nan,nan,nan,nan,nan,nan,nan,nan,1.171294001
nan,nan,nan,nan,nan,nan,nan,nan,1.18959547
nan,nan,nan,nan,nan,nan,nan,nan,1.207896939
nan,nan,nan,nan,nan,nan,nan,nan,1.226198407
nan,nan,nan,nan,nan,nan,nan,nan,1.244499876
nan,nan,nan,nan,nan,nan,nan,nan,1.262801345
